screen_id,screen_title,screen_type,source_file,container_or_selector,manual_review
01-00-99,Module root — LMS redirect + shared unit-js chrome,other (redirect + shared infra),index.html; unit-js/25-report.js,document root; unit-js/25-report.js,"unit-js/25-report.js:69 announce string lacks the exclamation mark present on the modal heading with identical wording elsewhere — flagged, not fixed."
01-01-00,Character picker,TwoOptionSelection,index.html,"section.screen[data-screen=""0""] (no id)",
01-01-01,Drone/scale hook — scroll card with scale widget + 2 zoomable images,HookOpenQuestion,index.html,"no id, .hook-card",
01-01-02,Choose learning mode (video / cards),TwoOptionSelection,index.html,no id,
01-01-03,Flip cards + embedded Q1 (SingleChoice) + Q2 (Dropdown),FlipCardsReveal (composite),index.html,#s3,
01-01-04,YouTube video + same embedded Q1/Q2 as screen 3,VideoWatchAndContinue (composite),index.html,#s4,
01-01-06,"""Let's solve one together"" transition",TransitionScreen,index.html,#s6,
01-01-07,"Guided exercise, step 1 (read-only preview)","other (guided walk-through, no input)",index.html,#s7,
01-01-08,"Guided exercise, step 2 — yes/no popup",other,index.html,#s8,
01-01-09,"Guided exercise, step 3 — yes/no popup",other,index.html,#s9,
01-01-10,"Guided exercise, step 4 — numeric choice popup (1,000 / 100)",other,index.html,#s10,
01-01-11,"Guided exercise, step 5 — answer reveal",other,index.html,#s11,
01-01-12,"Guided exercise, step 6 — fill-in-blank prompt",other,index.html,#s12,
01-01-14,"Guided exercise, step 7 — answer reveal (200:1)",other,index.html,#s14,
01-01-15,"Warm-up transition (""what's left in our head?"")",TransitionScreen,index.html,#s15,
01-01-16,Warm-up True/False question,SingleChoiceQuestion (true/false),index.html,#s16,
01-01-17,"""5 questions ahead"" transition",TransitionScreen,index.html,#s17,
01-01-18,Quiz Q1 — shoe/ruler drag measurement,ValueInputQuestion (MeasurementWidget hybrid — draggable ruler),index.html,#s18,
01-01-19,Quiz Q2a — bedroom desk scale,ValueInputQuestion,index.html,#s19,
01-01-20,Quiz Q2b — rug dimensions,SingleChoiceQuestion,index.html,#s20,
01-01-21,Quiz Q3 — nav-app map scale,ValueInputQuestion,index.html,#s21,
01-01-22,Quiz Q4 — flight distance (tooltip screen),SingleChoiceQuestion,index.html,#s22,
01-01-23,"Quiz Q5 — two drones, same scale?",SingleChoiceQuestion,index.html,#s23,
01-01-99,Part 01 — shared chrome + dead code,other (flag/report/zoom chrome + dead code),index.html; script.js,outside .screen containers,"script.js:546-770 (s5*) and :1937-1965 (s13*) implement fully dead/unreachable logic for data-screen 5 and 13, which do not exist anywhere in index.html (confirmed by full read; TOTAL_SCREENS=24 is a stale count from before these screens were removed). Their Hebrew strings are listed here for completeness but flagged for an owner decision on whether to translate."
01-02-00,"Intro / practice teaser (4 questions, hint available)",TransitionScreen,index.html,#s0,
01-02-01,Map scale — path length,DropdownQuestion,index.html,#s1,
01-02-02,Amusement park photo — distance conversion,DropdownQuestion,index.html,#s2,
01-02-03,Yard diagram — true statements about scale 50:1,MultipleChoiceQuestion,index.html,#s3,
01-02-04,Architecture plan — wall length in meters (part א),ValueInputQuestion,index.html,#s4,
01-02-05,"Architecture plan — wall length on plan (part ב, step-by-step)",DropdownQuestion,index.html,#s5,The dropdown-2 answer words כפל/חילוק (multiply/divide) are compared as literal strings against S30_CORRECT (script.js:672) — see 01-02-05-008's developer-note. Highest-risk logic coupling in this part.
01-02-06,"""Great job"" transition to advanced practice",TransitionScreen,index.html,#s6,
01-02-07,Electric car 3D-print model — scaled length,ValueInputQuestion,index.html,#s7,
01-02-08,Swimming pool plan — determine the scale,SingleChoiceQuestion,index.html,#s8,
01-02-99,Part 02 — shared chrome,other (flag/report/zoom chrome),index.html; script.js,outside .screen containers,
01-03-00,Congratulations / transition to off-computer class task,TransitionScreen,index.html,"section.screen[data-screen=""0""]#s0",
01-03-01,Class task instructions (off-computer measurement task),other (instruction/reading screen),index.html,"section.screen[data-screen=""1""]#s1","index.html:69 (list item 5) is missing the trailing zero-width space (U+200B) present on list items 1-4 (lines 65-68) — looks like an accidental omission, not a style choice."
01-03-02,Class task — report your own scale (free text),"ValueInputQuestion (free-text, ungraded/self-reported)",index.html,"section.screen[data-screen=""2""]#s2",
01-03-99,Part 03 — shared chrome,other (flag/report/zoom chrome),index.html,outside .screen containers,
01-04-00,Intro / transition to 3 advanced questions,TransitionScreen,index.html,#s0,
01-04-01,Advanced Q1 — Burj Khalifa scale,SingleChoiceQuestion,index.html,#s1,
01-04-02,Advanced Q2a — spacecraft photo zoom scale,SingleChoiceQuestion,index.html,#s2,
01-04-03,Advanced Q2b — drag dimensions to Yuval/Lior images,DragAndDropQuestion,index.html,#s3,
01-04-04,"Advanced Q3a — VR gaming festival, distance to first-aid station",ValueInputQuestion,index.html,#s4,
01-04-05,Advanced Q3b — VR room area with draggable ruler + MCQ,SingleChoiceQuestion (hybrid MeasurementWidget),index.html,#s5,
01-04-99,Part 04 — shared chrome,other (flag/report/zoom chrome + dead code),index.html; script.js,outside .screen containers,"script.js:1053-1158 implements a full dead/unreachable ""screen 42 / Q3c"" text-input question referencing #s6 and goTo(7), neither of which exist in this part (TOTAL_SCREENS=6, only s0-s5 exist). Its Hebrew strings are listed here for completeness but flagged for an owner decision on whether to translate at all."
01-05-00,Recap / lead-in to peak question,TransitionScreen (recap variant),index.html,#s0,
01-05-01,Scenario setup — drone patrol dispatched,TransitionScreen,index.html,#s1,
01-05-02,Q1 — map scale value input,ValueInputQuestion,index.html,#s2,
01-05-03,Narrative — reception problem near lake,TransitionScreen,index.html,#s3,
01-05-04,Q2 — cable reels multi-select,MultipleChoiceQuestion,index.html,#s4,
01-05-05,Narrative — Noa spots a sign,TransitionScreen,index.html,#s5,
01-05-06,Q3 — zoom effect on scale,SingleChoiceQuestion,index.html,#s6,
01-05-07,"Narrative — helicopter needed, ""clearing"" tooltip",TransitionScreen,index.html,#s7,
01-05-08,Q4 — helicopter landing clearance,SingleChoiceQuestion,index.html,#s8,
01-05-09,Narrative — mission complete,TransitionScreen,index.html,#s9,
01-05-10,Unit completion / finale,TransitionScreen (completion variant),index.html,#s10,
01-05-99,Part 05 — shared chrome,other (flag/report/zoom chrome),index.html,outside .screen containers,
