"Id","Status","Reason","Loc"
"01-00-99-001","MATCH-NORMALIZED","","index.html:5"
"01-00-99-002","MATCH-EXACT","","index.html:16"
"01-00-99-003","MATCH-NORMALIZED","","index.html:17"
"01-00-99-004","MATCH-NORMALIZED","","unit-js/25-report.js:69"
"01-01-00-001","MATCH-NORMALIZED","","index.html:25"
"01-01-00-002","MATCH-NORMALIZED","","index.html:26"
"01-01-00-003","MATCH-NORMALIZED","","index.html:31"
"01-01-00-004","MATCH-NORMALIZED","","index.html:38"
"01-01-00-005","MATCH-NORMALIZED","","index.html:48-50"
"01-01-01-001","MATCH-NORMALIZED","","index.html:73-74"
"01-01-01-002","MATCH-NORMALIZED","","index.html:78"
"01-01-01-003","MATCH-NORMALIZED","","index.html:79"
"01-01-01-004","MATCH-NORMALIZED","","index.html:87"
"01-01-01-005","MATCH-NORMALIZED","","index.html:93"
"01-01-01-006","MATCH-NORMALIZED","","index.html:99"
"01-01-01-007","MATCH-NORMALIZED","","index.html:105"
"01-01-01-008","MATCH-EXACT","","index.html:113"
"01-01-01-009","MATCH-EXACT","","index.html:116"
"01-01-01-010","MATCH-EXACT","","index.html:119"
"01-01-01-011","MATCH-NORMALIZED","","index.html:122"
"01-01-01-012","MATCH-NORMALIZED","","index.html:123"
"01-01-01-013","MATCH-EXACT","","index.html:133"
"01-01-01-014","MATCH-NORMALIZED","","index.html:136"
"01-01-01-015","MATCH-NORMALIZED","","index.html:137"
"01-01-01-016","MATCH-NORMALIZED","","index.html:149"
"01-01-01-017","MATCH-NORMALIZED","","index.html:150"
"01-01-01-018","MATCH-NORMALIZED","","index.html:155"
"01-01-01-019","MATCH-NORMALIZED","","index.html:156"
"01-01-01-020","MATCH-NORMALIZED","","index.html:160"
"01-01-01-021","MATCH-NORMALIZED","","index.html:161"
"01-01-01-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:199, 201"
"01-01-01-023","MATCH-NORMALIZED","","script.js:201"
"01-01-02-001","MATCH-NORMALIZED","","index.html:170"
"01-01-02-002","MATCH-NORMALIZED","","index.html:171"
"01-01-02-003","MATCH-NORMALIZED","","index.html:173"
"01-01-02-004","MATCH-NORMALIZED","","index.html:179"
"01-01-02-005","MATCH-NORMALIZED","","index.html:187"
"01-01-02-006","MATCH-NORMALIZED","","index.html:194"
"01-01-02-007","MATCH-NORMALIZED","","index.html:197"
"01-01-02-008","MATCH-NORMALIZED","","index.html:206"
"01-01-02-009","MATCH-EXACT","","index.html:208"
"01-01-02-010","MATCH-NORMALIZED","","script.js:266"
"01-01-03-001","MATCH-NORMALIZED","","index.html:224"
"01-01-03-002","MATCH-NORMALIZED","","index.html:226"
"01-01-03-003","MATCH-NORMALIZED","","index.html:227"
"01-01-03-004","MATCH-NORMALIZED","","index.html:228"
"01-01-03-005","MATCH-NORMALIZED","","index.html:231"
"01-01-03-006","MATCH-NORMALIZED","","index.html:235"
"01-01-03-007","MATCH-NORMALIZED","","index.html:240"
"01-01-03-008","MATCH-NORMALIZED","","index.html:247"
"01-01-03-009","MATCH-NORMALIZED","","index.html:249"
"01-01-03-010","MATCH-NORMALIZED","","index.html:257"
"01-01-03-011","MATCH-NORMALIZED","","index.html:262"
"01-01-03-012","MATCH-NORMALIZED","","index.html:269"
"01-01-03-013","MATCH-NORMALIZED","","index.html:271"
"01-01-03-014","MATCH-NORMALIZED","","index.html:279"
"01-01-03-015","MATCH-NORMALIZED","","index.html:284"
"01-01-03-016","MATCH-NORMALIZED","","index.html:291"
"01-01-03-017","MATCH-NORMALIZED","","index.html:293"
"01-01-03-018","MATCH-NORMALIZED","","index.html:309"
